"Training Data Name","Retty_月島もんじゃ_151119_3"
"Language Type","JapaneseAndEnglish"
"Morpheme Type","SingleAndCollocation"
"Hot Flag Threshold","945"
"Collocation Hot Flag Threshold","614"
"1","0.123","ワン"
"1","0.123","一体"
"1","0.123","一般"
"1","0.123","七味"
"1","0.123","三位一体"
"1","0.123","世界"
"1","0.123","並"
"1","0.123","中毒"
"1","0.123","主人"
"1","0.123","主流"
"1","0.123","久々"
"1","0.123","乙女"
"1","0.123","予想"
"1","0.123","二"
"1","0.123","五反田"
"1","0.123","亜希子"
"1","0.123","交互"
"1","0.123","今井"
"1","0.123","付"
"1","0.123","代わり"
"1","0.123","休み"
"1","0.123","何処"
"1","0.123","作"
"1","0.123","作家"
"1","0.123","使用"
"1","0.123","価格"
"1","0.123","僕"
"1","0.123","入れ"
"1","0.123","全席"
"1","0.123","具"
"1","0.123","写"
"1","0.123","切"
"1","0.123","別々"
"1","0.123","別格"
"1","0.123","到着"
"1","0.123","割り下"
"1","0.123","割下"
"1","0.123","加水"
"1","0.123","努"
"1","0.123","北海道"
"1","0.123","半生"
"1","0.123","単品"
"1","0.123","及第"
"1","0.123","各地"
"1","0.123","合コン"
"1","0.123","合間"
"1","0.123","吉祥寺"
"1","0.123","名古屋"
"1","0.123","味噌"
"1","0.123","唯一"
"1","0.123","喉"
"1","0.123","喉越し"
"1","0.123","固め"
"1","0.123","圧倒的"
"1","0.123","地"
"1","0.123","基本"
"1","0.123","壁"
"1","0.123","声"
"1","0.123","売"
"1","0.123","変わり種"
"1","0.123","変化"
"1","0.123","夕方"
"1","0.123","外"
"1","0.123","夢中"
"1","0.123","大人気"
"1","0.123","大切"
"1","0.123","大地"
"1","0.123","大正"
"1","0.123","大盛り"
"1","0.123","大量"
"1","0.123","大阪"
"1","0.123","天気"
"1","0.123","太"
"1","0.123","奇跡"
"1","0.123","奥"
"1","0.123","奥さん"
"1","0.123","奮発"
"1","0.123","好み"
"1","0.123","嫌"
"1","0.123","子ども"
"1","0.123","子供"
"1","0.123","存在"
"1","0.123","学園"
"1","0.123","客層"
"1","0.123","客足"
"1","0.123","少々"
"1","0.123","山彦"
"1","0.123","帰り"
"1","0.123","平成"
"1","0.123","店舗"
"1","0.123","店長"
"1","0.123","度数"
"1","0.123","弾力"
"1","0.123","彩り"
"1","0.123","微塵"
"1","0.123","心配"
"1","0.123","手元"
"1","0.123","手際"
"1","0.123","抜き"
"1","0.123","提供"
"1","0.123","支店"
"1","0.123","教訓"
"1","0.123","料金"
"1","0.123","斜め"
"1","0.123","日常"
"1","0.123","日本一"
"1","0.123","旨み"
"1","0.123","旨味"
"1","0.123","昼休み"
"1","0.123","昼飯"
"1","0.123","景色"
"1","0.123","曜日"
"1","0.123","期待"
"1","0.123","村"
"1","0.123","来店"
"1","0.123","格闘"
"1","0.123","桃"
"1","0.123","構内"
"1","0.123","様々"
"1","0.123","機会"
"1","0.123","次"
"1","0.123","次元"
"1","0.123","欧風"
"1","0.123","欲"
"1","0.123","歯応え"
"1","0.123","歴史"
"1","0.123","残念"
"1","0.123","毎日"
"1","0.123","比内"
"1","0.123","気前"
"1","0.123","洞"
"1","0.123","海"
"1","0.123","湯島天神"
"1","0.123","満員"
"1","0.123","漫画"
"1","0.123","激怒"
"1","0.123","火"
"1","0.123","無意識"
"1","0.123","焼酎"
"1","0.123","熱塩加納"
"1","0.123","爽やか"
"1","0.123","特"
"1","0.123","特有"
"1","0.123","特製"
"1","0.123","状態"
"1","0.123","獲得"
"1","0.123","率"
"1","0.123","玉ねぎ"
"1","0.123","現実"
"1","0.123","甘味"
"1","0.123","産"
"1","0.123","甲乙"
"1","0.123","番"
"1","0.123","白身"
"1","0.123","白髪"
"1","0.123","盛"
"1","0.123","目当て"
"1","0.123","直後"
"1","0.123","県"
"1","0.123","瞬間"
"1","0.123","祖先"
"1","0.123","祝日"
"1","0.123","福島"
"1","0.123","秋田"
"1","0.123","程度"
"1","0.123","究極"
"1","0.123","空"
"1","0.123","空席"
"1","0.123","等"
"1","0.123","素材"
"1","0.123","経営"
"1","0.123","絵"
"1","0.123","絵柄"
"1","0.123","絵画"
"1","0.123","絶妙"
"1","0.123","繁盛"
"1","0.123","背"
"1","0.123","自体"
"1","0.123","自然"
"1","0.123","自由"
"1","0.123","色"
"1","0.123","芋"
"1","0.123","花屋"
"1","0.123","菊池"
"1","0.123","表紙"
"1","0.123","補強"
"1","0.123","覚悟"
"1","0.123","記憶"
"1","0.123","評価"
"1","0.123","誰"
"1","0.123","調整"
"1","0.123","調理"
"1","0.123","豆"
"1","0.123","貼り紙"
"1","0.123","賞賛"
"1","0.123","質"
"1","0.123","質感"
"1","0.123","贅沢"
"1","0.123","足"
"1","0.123","辛"
"1","0.123","農薬"
"1","0.123","追伸"
"1","0.123","追加"
"1","0.123","通常"
"1","0.123","連れ"
"1","0.123","運河"
"1","0.123","選択"
"1","0.123","酸味"
"1","0.123","重視"
"1","0.123","野菜"
"1","0.123","金色"
"1","0.123","金額"
"1","0.123","長居"
"Process Count","Weight","Morpheme1","Morpheme2"
"1","0.123","あまり","期待"
"1","0.123","たまご","トッピング"
"1","0.123","らん","デート"
"1","0.123","アボカド","トッピング"
"1","0.123","カレー","注文"
"1","0.123","クリーム","サービス"
"1","0.123","コース","料理"
"1","0.123","コーヒー","注文"
"1","0.123","サーロイン","注文"
"1","0.123","ソーセージ","カウント"
"1","0.123","タイム","スリップ"
"1","0.123","ディナー","利用"
"1","0.123","ナッシング","突入"
"1","0.123","ネギ","存在"
"1","0.123","ハンバーガー","注文"
"1","0.123","パプリカ","スライス"
"1","0.123","パン","おすすめ"
"1","0.123","ポーク","選択"
"1","0.123","メニュー","突入"
"1","0.123","ライン","アップ"
"1","0.123","ランチ","注文"
"1","0.123","ランチ","訪問"
"1","0.123","ロケーション","仕事"
"1","0.123","一品","完成"
"1","0.123","丼","注文"
"1","0.123","丼","激怒"
"1","0.123","久々","訪問"
"1","0.123","個","使用"
"1","0.123","円","堪能"
"1","0.123","円","限定"
"1","0.123","半熟","加減"
"1","0.123","卵","トッピング"
"1","0.123","卵","邪魔"
"1","0.123","外","行列"
"1","0.123","大盛り","注文"
"1","0.123","奇跡","行列"
"1","0.123","子ども","トッピング"
"1","0.123","席","おすすめ"
"1","0.123","年","創業"
"1","0.123","店","一緒"
"1","0.123","後","教訓"
"1","0.123","手際","調理"
"1","0.123","日本一","賞賛"
"1","0.123","時代","創業"
"1","0.123","桃","意味"
"1","0.123","気","奮発"
"1","0.123","気前","評価"
"1","0.123","火","調整"
"1","0.123","焼酎","料理"
"1","0.123","甘み","重視"
"1","0.123","相席","選択"
"1","0.123","種類","ビックリ"
"1","0.123","脂","中毒"
"1","0.123","脂","格闘"
"1","0.123","脂","補強"
"1","0.123","自由","おすすめ"
"1","0.123","芋","蔵"
