restaurant_id,restaurant_name,report_comment,,,,,,,,,,,,,,,,,,,,,,,
1.00001E+11,超ごってり麺ごっつ 新小岩店,"ややしょっぱいがあっさりしたスープなのだが、まったくそう思わせないほど大量の背脂が散らされ、コテコテを通り越したまさにゴッテリ感と質の良い甘みが加えられている。正直スープ自体は印象に残らず背脂と格闘するが嫌な感じがないのは背脂自体の質も良いのだろう。背脂の量は選べるが普通にそうとうする”ごってり”でもおどろくほど多い。
ムッチリと歯応えの優れる麺は大量の背脂とザクザクのネギの中にあっても存在感がしっかりしている美味しいもの。中盛、大盛も同料金でお得。チャーシューは柔らかく薄く食べにくい。",,,,,,,,,,,,,,,,,,,,,,,
1.00001E+11,超ごってり麺ごっつ 新小岩店,"某有名店系列がお昼休みに入っていたので、通りががりにあった本店に立ち寄り

つけ麺 空 辛ネギをオーダ

個人的には好みの味でラッキーでした。 
麺の量 ご飯 水餃子がサービスで選べるので、
がっつり食べたい人には良いかと思います。",,,,,,,,,,,,,,,,,,,,,,,
1.00001E+11,超ごってり麺ごっつ 新小岩店,"麺類注文で、大盛・中盛・半ライス・水餃子無料の貼り紙に吸い寄せられた昼飯。

つけ麺大地（味噌）850円に当然全部付けてもらう。大盛＋中盛は…と聞きかけて引かれてしまい、やむなく麺は大盛に。

加水率高めで喉越しと甘み重視の中太麺。まあまあ質感も良く、たまにこういうつけ麺いいなと思うストライクゾーン。

スープは豚骨ベースで粘度は低く、濃さよりむしろシメの酸味が少し強く出ており、ドカッと載った背脂で濃厚さを補強してある感じ。

グイグイと食える感じは十分美味しいが欲を言えば麺・スープ・脂にもう少し一体感が欲しいか。

水餃子は皮モチモチ肉汁十分。サービスメニューの一品にしておくには勿体無い完成度で侮れない一品。

元々は一燈の大行列に心が折れてやって来てこういう気前の良さを見せられると評価は当然甘くなってしまうが。

次はラーメンでガツンとやるか…♪",,,,,,,,,,,,,,,,,,,,,,,
1.00001E+11,超ごってり麺ごっつ 新小岩店,"つけ麺大地(みそ)大盛、注文。

かなりボリュームあり！
味も悪くない。",,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,"祝日ランチで訪問。
10うん年ぶりのTYでワクワク！若い頃営業途中のランチで利用してたので記憶が蘇ってきます！
都内唯一？のブルワリーで飲むビールは格別。利きビールで4種が楽しめる。苦味があるのが美味しかったです。
あと、アルコール度数高いのは結構きます笑。
安定のハンバーガー、サラダにチキン。どれを取っても雰囲気がいいからか、呑まれますw",,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,"ランチやけど、ビール飲みたくなるねー、ここに来ると。
相変わらずお洒落で、いい雰囲気。テラス席で運河を眺めながらランチでした。相手が女性でなかったのが残念ですが。

今日はシーザサラダにチキンとアボカドをトッピング。
パルミジャーノたっぷりで美味しかった。
コーヒー、アイスティー飲み放題なので、長居しちゃいますね。

ディナーで是非来たいと思います。",,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,サラダランチ、コーヒーおかわり自由,,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,"ここはともかくおすすめ！！

もう何度訪れたかわかりません！

ランチもディナーも利用しましたが
私のおすすめはランチ。

ハンバーガーがウリですが
それだけではありません！
曜日ごとにメニューが分かれており
毎日通っても飽きなーい！

し か も！

?サラダランチ
?スープランチ
?サンドウィッチランチ
?パスタランチ
?お魚ランチ
?お肉ランチ

があり、どれもこれも
美味しそうすぎて選ぶのが大変です。

私は特に
サラダランチとスープランチを
よく食べるのですが、
サラダが大きいのなんのって…
でも野菜をもりもり食べたい！
って時には絶対これです。

お連れの方がいるのであれば
別々のものを頼んでシェアしても
いいくらいです。

また、ランチについてくる
トロピカルアイスティーがまた美味しい
しかも少なくなると注ぎに来てくれる?

食後のコーヒーもなんとお代わり自由！
コーヒーについてくるミルクも
フレッシュではなくミルク！
そんなとこまでなんて素敵なんだ！
と思ってしまいます。

お店の方の目も行き届いているので
来ないなぁ?という心配もなくて
本当におすすめ！

行く時間によって景色がガラッと
変わるテラス席がおすすめですよ?

帰りにはお隣のベーカリーで
パンを買って帰るのもおすすめです?

最近は品川駅構内のecuteに
こちらのパン屋さん入っているので、
なかなか行けない方は小さいですが、
イートインスペースもあるので、
テイクアウトもしくはイートイン
してみてもいいかもしれません。",,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,美味しいビールとハンバーガーのお店。ここのハンバーガーが一番好きです。子供連れもOKな素敵なお店です。,,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,とっても雰囲気がよかった。,,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,海が見えて、ロケーションが素敵♪,,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,平日の仕事の合間のランチで行きましたが、あーっという間に現実世界からタイムスリップ出来る、素敵な空間でした！少し肌寒くても運河前のテラス席がおすすめ。天気が良いとアメリカンなメニューにシャンパンとか飲みたくなっちゃう感じですねー。,,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,"ランチに来ました。
相変わらずの人気ぶり。
サラダランチを注文。チキンと海老が入ってます。タイ風のソース、パクチーがいいアクセントになってます。量もタップリで満足感ありますね。
アイスティーとコーヒーが飲み放題なのが嬉しいです。",,,,,,,,,,,,,,,,,,,,,,,
1E+11,T.Y. HARBOR BREWERY,"会社からタクシーでランチ！
風が吹き抜ける爽やかなお店です！映画のワンシーンに出てきそう。。。。
１３時頃に行ったにもかかわらず、店内は賑わっていていました！
ハンバーガーを注文したのですが。。。。大きいw肉肉しい！！！
ポテトもどっさり！サラダがつくのが嬉しかったです！
一緒に来た人はサーロインを注文していたのですが、それも美味しそうでした?????
カジュアルなデートにオススメです夜になったらもっと綺麗なのかも。。。。",,,,,,,,,,,,,,,,,,,,,,,
